Bouclier_Magnétique 0 0 0 0 100 100 1 0 0
Rush_Plasmalame 400 100 100 300 100 50 1 0 0
Tire_Augmenter 50 50 200 700 75 25 1 0 0
Tempête_de_Balles 50 50 300 500 100 50 6 75 1
Propulseur_Sigma 0 0 0 0 90 90 1 0 1
Slash_Gamma 150 0 0 0 75 75 1 0 1
Fusie_Ionique 200 200 300 500 80 40 1 0 2
Surcharge_Balistique 0 0 0 0 100 100 1 0 2
Replie_Stratégique 50 0 300 500 50 25 1 0 2
Tire_Balistique 200 200 300 700 50 75 3 50 3
Camouflage_Tactique 0 0 0 0 80 80 1 0 3
Lame_Fantôme 100 100 100 250 100 100 1 0 3
Frappe_Gravitationnelle 500 0 1000 1000 90 90 1 0 4
Piratage_Atlas 50 0 350 350 65 65 1 0 4
Siphon_Plasma 200 100 350 500 75 65 1 0 4
Réparation_Flash 0 0 0 0 80 80 1 0 5
Nano-Barrier 0 0 0 0 75 75 1 0 5
Rafale_Tactique 100 50 300 500 100 50 3 65 5
